CharacterID,Prefix,First,Middle,Nickname,Last,Suffix,Title,UsualRef,Sex,Species,Comment,LaterLast,Description,GrammarSchool,MainClub
203,,,,,Meadowes,,,,Male,Human,,,,,
204,,Rupert,,,Brinkley,,,,Male,Human,Name changed between novels,Bingley,,,
205,,,,,Maple,,,,Male,Human,,,,,
206,,,,,Mulready,,,,Male,Human,,,,,
207,,,,,Oakshott,,,,Male,Human,,,,,
208,,,,,Purvis,,,,Male,Human,,,,,
209,,,,,Seppings,,,,Male,Human,,,,,
210,,,,,Waterbury,,,,Male,Human,,,,,
211,,Anatole,,,,,,,Male,Human,,,,,
212,,,,,Butterfield,,,,Male,Human,,,,,
213,Miss,,,,Mapleton,,,,Female,Human,,,,,
214,,McIntosh,,,,,,,Male,Dog,,,,,
215,,Eustace,,,Oates,,,,Male,Human,,,,,
216,Rev.,Aubrey,,,Upjohn,,,,Female,Human,,,,,
217,Dame,Daphne,,,Winkworth,,,,Female,Human,,,,,
218,,Gertrude,,,Winkworth,,,,Female,Human,,,,,
219,,Augustus,,Gus,,,,,Male,Cat,,,Dislikes being disturbed from his sleep or being scratched under the ears,,
220,Mr,,,,Mulliner,,,,Male,Human,,,,,
221,,Archibald,,,Mulliner,,,,Male,Human,,,Can mimic a hen laying an egg,,Drones
222,Rev.,Augustine,,,Mulliner,,,,Male,Human,,,Timid,,
223,,,,,Burgess,,,,Male,Human,,,,,
224,,,,Gazeka,Firby-Smith,,,,Male,Human,,,,,
225,,Bob,,,Jackson,,,,Male,Human,,,,,
226,,Trevor,,,,,,,Male,Human,,,Keen cricketer,,
227,,,,,Clowes,,,,Male,Human,,,Keen cricketer,,
228,Mr,,,,Wain,,,,Male,Human,,,,,
229,,,,,Wyatt,,,,Male,Human,,,,,
230,,,,,Neville-Smith,,,,Male,Human,,,A day boy at Wrykyn and a good fast bowler,,
231,,,,,Strachan,,,,Male,Human,,,,,
232,Mr,,,,Outwood,,,,Male,Human,,,,,
233,Mr,,,,Downing,,,,Male,Human,,,,,
234,,,,,Adair,,,,Male,Human,,,Very keen cricket captain at Sedleigh,,
235,,Tom,,,Jellicoe,,,,Male,Human,,,,,
236,,,,,Spiller,,,,Male,Human,,,,,
237,,,,,Stone,,,,Male,Human,,,A ragger,,
238,,,,,Robinson,,,,Male,Human,,,,,
239,,John,,,Bickersdyke,,,,Male,Human,,,,,
240,Mr,,,,Rossiter,,,,Male,Human,,,A football fan,,
241,Mr,Robert,,,Waller,,,,Male,Human,,,A secret socialist,,
242,Mr,,,,Prebble,,,,Male,Human,,,An unintelligible socialist orator,,
243,,Joe,,,Jackson,,,,Male,Human,,,An MCC player,,
244,,Billy,,,Windsor,,,,Male,Human,,,,,
245,,,,Pugsy,Maloney,,,,Male,Human,,,,,
246,,,,Kid,Brady,,,,Male,Human,,,,,
247,,,,Bat,Jarvis,,,,Male,Human,,,,,
248,,,,Long Otto,,,,,Male,Human,,,,,
249,,,,Spider,Reilly,,,,Male,Human,,,,,
250,,Jack,,,Repetto,,,,Male,Human,,,,,
251,,,,Dude,Dawson,,,,Male,Human,,,,,
252,,Francis,,,Parker,,,,Male,Human,,,,,
253,,Stanley,Featherstonehaugh,,Ukridge,,,,Male,Human,,,,Wrykyn,
254,,Julia,,,Ukridge,,,,Female,Human,,,,,
255,,Dora,,,Mason,,,,Female,Human,,,,,
256,,,,,Oakshott,,,,Male,Human,,,,,
257,,Millie,,,Ukridge,,,,Female,Human,,,,,
258,Lady,Elizabeth,,,Lakenheath,,,,Female,Human,,,,,
259,,Charles,Percy,,Cuthbertson,,,Uncle Percy,Male,Human,,,,,
260,,James,,Corky,Corcoran,,,,Male,Human,,,,Wrykyn,
261,,,,,Bowles,,,,Male,Human,,,,,
262,,George,,,Tupper,,,,Male,Human,,,,Wrykyn,
263,,B.,V.,Boko,Lawlor,,,,Male,Human,,,,,
264,,J.,G.,Looney,Cootes,,,,Male,Human,,,,Wrykyn,
265,,,,Battling,Billson,,,,Male,Human,,,,,
266,,Flossie,,,,,,,Female,Human,,,,,
267,,Teddy,,,Weeks,,,,Male,Human,,,,,
268,,Joe,,The Lawyer,,,,,Male,Human,,,,,
269,,Izzy,,,Previn,,,,Male,Human,,,,,
270,,,,,Beale,,,,Male,Human,,,,,
271,Professor,,,,Derrick,,,,Male,Human,,,,,
272,,Phyllis,,,Derrick,,,,Female,Human,,,,,
273,,Tom,,,Chase,,,,Male,Human,,,,,
274,,Jeremy,,,Garnet,,,,Male,Human,,,,,
275,,Harry,,,Hawk,,,,Male,Human,,,,,
276,,Jane,,,,,Lady Ickenham,,Female,Human,,,,,
277,,Clarence,MacAndrew,,Chugwater,,,,Male,Human,,,,,
278,,Roland,,,Bleke,,,,Male,Human,,,,,
279,,James,Willoughby,,Pitt,,,,Male,Human,,,,,
280,,Molly,,,McEachern,,,,Female,Human,,,,,
281,,John,,,McEachern,,,,Male,Human,,,Corrupt,,
282,,Arthur,,,Mifflin,,,,Male,Human,,,,,
283,,,,Spennie,,,Earl of Dreever,,Male,Human,,,,,
284,Lady,Julia,,,Blunt,,,,Female,Human,,,Imperious,,
285,Sir,Thomas,,,Thomas,,,,Male,Human,,,Wealthy,,
286,,Spike,,,Mullins,,,,Male,Human,,,,,
287,,William,Paradene,Bill,West,,,,Male,Human,,,,,
288,,Cooley,,,Paradene,,,,Male,Human,,,A wealthy businessman and collector of rare books,,
289,,Horace,,,French,,,,Male,Human,,,,,
290,Professor,,,,Appleby,,,,Male,Human,,,,,
291,,Joe,,the dip,,,,,Male,Human,,,,,
292,,Wilfred,,,Slingsby,,,,Male,Human,,,,,
293,,Judson,,,Coker,,,,Male,Human,,,A devout drinker,,
294,,Alice,,,Coker,,,,Female,Human,,,,,
295,,Roderick,,,Pyke,,,,Male,Human,,,,,
296,,Frances,,,Hammond,,,,Female,Human,,,,,
297,,Sinclair,,,Hammond,,,,Male,Human,,,,,
298,,Felicia,,Flick,Sheridan,,,,Female,Human,,,,,
299,,Sam,,,Shotter,,,,Male,Human,,,,Wrykyn,
300,,Clarence,,Hash,Todhunter,,,,Male,Human,,,,,
301,,Kay,,,Derrick,,,,Female,Human,,,,,
302,Mr,Matthew,,,Wrenn,,,,Male,Human,,,,,
303,,Claire,,,Lippett,,,,Female,Human,,,Fiery,,
304,,Willoughby,,,Braddock,,,,Male,Human,,,,Wrykyn,
305,Mrs,Martha,,,Lippett,,,,Female,Human,,,,,
306,,Alexander,,Chimp,Twist,,,,Male,Human,,,,,
307,,Thomas,,Soapy,Molloy,,,,Male,Human,,,,,
308,,Dora,,Dolly,Gunn,,,,Female,Human,,Molloy,,,
309,,Edward,,Finky,Finglass,,,,Male,Human,,,,,
310,,Claude,,,Winnington-Bates,,,,Male,Human,,,,Wrykyn,
311,Mr,,,,Cornelius,,,,Male,Human,,,,,
312,Mrs,,,,Cornelius,,,,Female,Human,,,,,
313,,Ogden,,,Ford,,,,Male,Human,,,"An obnoxious child, a popular target for kidnappers",,
314,,Elmer,,,Ford,,,,Male,Human,,,Wealthy and commanding,,
315,Mrs,Nesta,,,Ford,,,,Female,Human,,Pett,A doting mother,,
316,,Peter,,,Burns,,,,Male,Human,,,A well-to-do young man,,
